name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-1	Left ACC
e001	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-2	Left ACC
e002	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-3	Left ACC
e003	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-4	Left ACC
e004	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-5	Left ACC
e005	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-6	Left ACC
e006	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-7	Left ACC
e007	Neuralynx-Atlas	-0.67	25.84	20.14	n/a	n/a	Neuralynx-Atlas-microwire-8	Left ACC
e008	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-9	Left preSMA
e009	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-10	Left preSMA
e010	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-11	Left preSMA
e011	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-12	Left preSMA
e012	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-13	Left preSMA
e013	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-14	Left preSMA
e014	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-15	Left preSMA
e015	Neuralynx-Atlas	-7.86	12.2	42.04	n/a	n/a	Neuralynx-Atlas-microwire-16	Left preSMA
e016	Neuralynx-Atlas	-19.19	-2.91	-19.08	n/a	n/a	Neuralynx-Atlas-microwire-17	Left amygdala
e017	Neuralynx-Atlas	-19.19	-2.91	-19.08	n/a	n/a	Neuralynx-Atlas-microwire-18	Left amygdala
e018	Neuralynx-Atlas	-19.19	-2.91	-19.08	n/a	n/a	Neuralynx-Atlas-microwire-19	Left amygdala
e019	Neuralynx-Atlas	-19.19	-2.91	-19.08	n/a	n/a	Neuralynx-Atlas-microwire-20	Left amygdala
e020	Neuralynx-Atlas	-19.19	-2.91	-19.08	n/a	n/a	Neuralynx-Atlas-microwire-21	Left amygdala
e021	Neuralynx-Atlas	-19.19	-2.91	-19.08	n/a	n/a	Neuralynx-Atlas-microwire-22	Left amygdala
e022	Neuralynx-Atlas	-19.19	-2.91	-19.08	n/a	n/a	Neuralynx-Atlas-microwire-23	Left amygdala
